Aleksandr
Bogatov
d00db7a12947d05f5deca2e04ce199a5
[25.4.2022 | 1:24:55] {"type":"cmd","data":"run"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:56] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:57] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:57] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:57] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[25.4.2022 | 1:24:57] {"client-id":"2f8ad619-e553-4dfd-ba0a-848770650685","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
